supplier_id,product_name,supplier
1,MacBook Pro 16in Apple,DataParts Supply
2,Galaxy S24 Ultra Samsung,ProTech Direct
3,Sony WH1000XM5 Headphone,ProTech Direct
4,"Dell Ultra Sharp 27"" Monitor",MegaWholesale
5,Logitech MX Master 3 S,DataParts Supply
6,iPad Pro 12.9 inch Apple,Global Electronics
7,Bose Quiet Comfort 45,ProTech Direct
8,MS Surface Pro 9,DataParts Supply
9,Pixel 8 Pro Google,DataParts Supply
10,HP Spectre x 360 16-inch,TechDistro Inc
11,ThinkPad X1 Carbon Lenovo,Global Electronics
12,Razer Blade 16 Gaming Laptop,MegaWholesale
13,Corsair K-100 RGB Mechanical Keyboard,DataParts Supply
14,LG OLED C3 65 inch TV,DataParts Supply
15,Nintendo Switch OLED Model,ProTech Direct
16,Canon EOS R6 MK II Camera,TechDistro Inc
17,DJI Mavic3 Pro Drone,MegaWholesale
18,Dyson V15 Detect Vacuum,ProTech Direct
19,Sonos Era300 Speaker,TechDistro Inc
20,Anker Power Core 26800mAh,DataParts Supply
21,Steel Series Arctis Nova Pro Headset,Global Electronics
22,WD Black SN850X NVMe SSD,ProTech Direct
23,Asus ROG Strix G16 Laptop,Global Electronics
24,Jabra Elite85t Earbuds,Global Electronics
25,Fitbit Charge6 Fitness Tracker,ProTech Direct
26,Garmin Fenix 7 X Solar,DataParts Supply
27,Amazon Kindle Paperwhite (2024),MegaWholesale
28,Roku 4K Streaming Stick+,ProTech Direct
29,TPLink Deco XE-75 Mesh WiFi,Global Electronics
30,Samsung Portable SSD T7 Shield,Global Electronics
31,Crucial MX-500 1TB SATA SSD,ProTech Direct
32,Seagate Expansion Portable 4 TB,TechDistro Inc
33,AMD Ryzen9 7950X Processor,Global Electronics
34,Intel Core i9 14900K CPU,MegaWholesale
35,Nvidia RTX 4090 Graphics Card,ProTech Direct
36,Elgato StreamDeck MK2,MegaWholesale
37,Blue YetiX USB Microphone,DataParts Supply
38,Wacom Intuos Pro Med Tablet,ProTech Direct
39,Brother HLL2350DW Laser Printer,TechDistro Inc
40,Epson Eco Tank ET2850 Printer,DataParts Supply
41,CalDigit TS4 Thunderbolt Dock,TechDistro Inc
42,Belkin TB4 USB-C Hub,MegaWholesale
43,APC BackUPS Pro 1500VA,Global Electronics
44,Synology DiskStation DS923 Plus,MegaWholesale
45,Ubiquiti UDM Pro Router,Global Electronics
46,Keychron Q1Pro Mechanical Keyboard,TechDistro Inc
47,Audio Technica ATH M50x Headphones,DataParts Supply
48,Shure SM-7B Dynamic Mic,TechDistro Inc
49,Rode NTUSB Mini Microphone,DataParts Supply
50,Focusrite Scarlett 2i2 Audio Interface,TechDistro Inc
